,review_date,review_rating,review_title,review_text,verified_purchase
0,1/1/2019,5,Dove Mens + Deodorant,"As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!",True
1,1/2/2019,5,Great for a marmite lover!,"Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",True
2,1/2/2019,4,Vitamin B12.,Excellent,True
3,1/2/2019,5,A Very Handy Flavour Top - Up to Keep In The Cupboard.,A great flavour top - up for slow cooking.,True
4,1/2/2019,5,Very handy,Does what is says it does,False
5,1/2/2019,4,Vitamin B12.,Excellent,True
6,1/2/2019,5,Great for a marmite lover!,"Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",True
7,1/2/2019,5,A Very Handy Flavour Top - Up to Keep In The Cupboard.,A great flavour top - up for slow cooking.,True
8,1/5/2019,4,nearly 5 star,Excellent item.Good for men,False
9,1/6/2019,5,Good,Thank you Im very happy,True
10,1/6/2019,5,Good,Thank you Im very happy,True
11,1/7/2019,5,Deodorant,Beautiful,True
12,1/9/2019,5,Repeat purchase,Always buy. Big bottles,True
13,1/2/2019,5,Very handy,Does what is says it does,False
14,1/2/2019,5,Excellent on my badly treated hair,Always use this product on my heavily mistreated hair and it works wonders time after time,True
15,1/12/2019,5,Recommend,Great value,True
16,1/2/2019,5,Excellent on my badly treated hair,Always use this product on my heavily mistreated hair and it works wonders time after time,True
17,1/13/2019,5,Happy,"Its not the one in the picture, but gets 5 stars because its the regular one I use and its awesome for people with dry skin.",True
18,1/11/2019,5,Really works,"Item as described, excellent quality, rapid delivery Great for skin irritations, redness, blemishes",True
19,1/14/2019,5,Lovely,Good body wash but not a very strong smell,True
20,1/16/2019,5,Toiletries,Great,True
21,1/16/2019,5,Toiletries,Great,True
22,1/19/2019,5,More for your money!,Worth it!,True
23,1/20/2019,5,Superb,I remember trying this at a friends house years ago. Now Ive been using it for about 3-months and its the only one Ill buy.,False
24,1/3/2019,5,Great,Great,True
25,1/22/2019,3,Pay a little more for a better antiperspirant,Not the best antiperspirant out there unless you like going to work with a snow drift under your arm.,True
26,1/22/2019,5,Smells lovely,Love this product,True
27,1/22/2019,5,Addicted,If I die eating one of these I\u2019ll die a very contented man. I love \u2018em,False
28,1/25/2019,5,Beautifully Moisturising,"I love this range of body lotions as they aren\u2019t greasy, are easy to apply and soak in quickly and leave my skin feeling super soft and moisturised. Great value for money and the scent is fresh and light, a great go to beauty essential in my bathroom cupboard. [This review was collected as part of a promotion.]",False
29,1/26/2019,5,A miracle in a bottle! Absolutely love this product!,"I suffer with dry sensitive skin and vaseline is one of very few products that doesn't make my skin flare up and itch like crazy!The first thing I noticed was the beautiful fresh smell that escaped as I lifted the cap, as I applied a drop to my skin I instantly felt a soothing relief and easily moisturised into my skin absorbing effortlessly and not at all greasy unlike alot of other moisturisers I've tried! I use this product every day and it has improved my dry skin condition massively couldn't recommend this product enough I absolutely love it! [This review was collected as part of a promotion.]",False
30,1/3/2019,5,"Lingering, comforting smell and cleans really well",Absolutely love this stuff ... leaves a lovely lingering fragrance that you can smell each time you open a wardrobe or clothes drawer ... gets everything clean really well too Reminds me of when I was a kid and Mum just put me in some freshly laundered clothes ... lovely,True
31,1/4/2019,5,Very happy with it,Very happy with it,True
32,1/28/2019,5,Perfect for cashmere sweaters and silk tops,I love that I now wash my cashmere sweaters at home. Saves me a lot of money compared to taking my clothes to the dry-cleaners every week. Very happy with my purchase,True
33,1/28/2019,5,Skin so soft.. highly recommend!,So prior to receiving this I had pretty rough elbows in particular and my skin feels dry. As a busy mum of two I admit I sometimes neglect myself.. some of you may empathise! But this product trial gave me the perfect opportunity to reconnect with myself and have a bit of \u201Cme time\u201D. So for 3 days after my baths / shower I smothered myself with this. I must admit the first time I put this on I wasn\u2019t sure about the smell. It\u2019s not offensive it\u2019s like a cucumber smell (although it\u2019s aloe) but I tend to smell of perfumes all the time.. however by day 3 I actually liked the smell. Application: it went on nicely not too thick and soaked in pretty quickly it didn\u2019t feel sticky. I always have my morning wash by 07:30 but even in the evening before bedtime my skin is feeling noticibly softer and my rough elbows gone. Verdict: thumbs up. Yes I will be continuing to use this thank you for a fab product trial and for introducing me to Vaseline Aloe! [This review was collected as part of a promotion.],False
34,1/14/2019,5,"As described, quick delivery",Happy with item,True
35,1/1/2019,5,Light as a feather,"I really like this. The texture is almost like a gel so it's really light and easily absorbed into my skin, leaving it feel soft and fresh, without any of the weight that some thicker creams have.I would buy it again. [This review was collected as part of a promotion.]",False
36,1/30/2019,5,Good,Smells nice,True
